context_id,product_id,representation,protocol,candidate_quantity,training_percentile,raw_probability,sigmoid_probability,isotonic_probability,valid_support
11053,100483XUZ09C,Q2,B,38724.400000000074,90,0.12321992121268242,0.105220136052795,0.12044817927170871,True
28358,100483XUZ09C,Q2,B,43.1,10,0.14072733558171296,0.11503079943354143,0.125,True
28358,100483XUZ09C,Q2,B,100.0,25,0.14072733558171296,0.11503079943354143,0.125,True
28358,100483XUZ09C,Q2,B,448.5,50,0.14072733558171296,0.11503079943354143,0.125,True
28358,100483XUZ09C,Q2,B,5000.0,75,0.15087197958272927,0.1210728573607009,0.15868794326241134,True
28358,100483XUZ09C,Q2,B,38724.400000000074,90,0.15087197958272927,0.1210728573607009,0.15868794326241134,True
16403,100483XUZ09C,Q2,B,43.1,10,0.10648436109461097,0.09653978106404638,0.11627906976744186,True
16403,100483XUZ09C,Q2,B,100.0,25,0.10648436109461097,0.09653978106404638,0.11627906976744186,True
16403,100483XUZ09C,Q2,B,448.5,50,0.10648436109461097,0.09653978106404638,0.11627906976744186,True
16403,100483XUZ09C,Q2,B,5000.0,75,0.13132047274977676,0.10966426434431886,0.12044817927170871,True
16403,100483XUZ09C,Q2,B,38724.400000000074,90,0.13132047274977676,0.10966426434431886,0.12044817927170871,True
29121,100483XUZ09C,Q2,B,43.1,10,0.06231103419528513,0.076631637755482,0.0189873417721519,True
29121,100483XUZ09C,Q2,B,100.0,25,0.06231103419528513,0.076631637755482,0.0189873417721519,True
29121,100483XUZ09C,Q2,B,448.5,50,0.06231103419528513,0.076631637755482,0.0189873417721519,True
29121,100483XUZ09C,Q2,B,5000.0,75,0.07509298627376285,0.0819693603907248,0.06351351351351352,True
29121,100483XUZ09C,Q2,B,38724.400000000074,90,0.07509298627376285,0.0819693603907248,0.06351351351351352,True
14542,100483XUZ09C,Q4,A,43.1,10,0.059224719784313165,0.07793587601647597,0.06060606060606061,True
14542,100483XUZ09C,Q4,A,100.0,25,0.061663111098249686,0.07877724271145707,0.06060606060606061,True
14542,100483XUZ09C,Q4,A,448.5,50,0.05754731472182344,0.07736187186114245,0.06060606060606061,True
14542,100483XUZ09C,Q4,A,5000.0,75,0.05894296277018799,0.07783918770211887,0.06060606060606061,True
14542,100483XUZ09C,Q4,A,38724.400000000074,90,0.08015743194798082,0.0854335239528807,0.10298507462686567,True
19188,100483XUZ09C,Q4,A,43.1,10,0.06666595087819156,0.08052952300457737,0.07226107226107226,True
19188,100483XUZ09C,Q4,A,100.0,25,0.06473369488913876,0.07984856029459184,0.07226107226107226,True
19188,100483XUZ09C,Q4,A,448.5,50,0.06095559421833197,0.07853226232307026,0.06060606060606061,True
19188,100483XUZ09C,Q4,A,5000.0,75,0.06242842517512744,0.07904302226560006,0.06060606060606061,True
19188,100483XUZ09C,Q4,A,38724.400000000074,90,0.0692009002714317,0.08143092073007406,0.07226107226107226,True
9727,100483XUZ09C,Q4,A,43.1,10,0.0932059303800955,0.09043248607283882,0.10298507462686567,True
9727,100483XUZ09C,Q4,A,100.0,25,0.08907310072287644,0.08882131332923034,0.10298507462686567,True
9727,100483XUZ09C,Q4,A,448.5,50,0.08443042188132677,0.08704231343006187,0.10298507462686567,True
9727,100483XUZ09C,Q4,A,5000.0,75,0.07516198027910355,0.0835869394582989,0.07226107226107226,True
9727,100483XUZ09C,Q4,A,38724.400000000074,90,0.08134611692772681,0.08587833999977958,0.10298507462686567,True
16170,100483XUZ09C,Q4,A,43.1,10,0.07236139559280617,0.08256762965050207,0.07226107226107226,True
16170,100483XUZ09C,Q4,A,100.0,25,0.08298827692578195,0.08649630203697724,0.10298507462686567,True
16170,100483XUZ09C,Q4,A,448.5,50,0.0853514327192443,0.08739264762267115,0.10298507462686567,True
16170,100483XUZ09C,Q4,A,5000.0,75,0.1130851340817894,0.09855515306000341,0.10465116279069768,True
16170,100483XUZ09C,Q4,A,38724.400000000074,90,0.1630943258881351,0.1219130115076413,0.1419939577039275,True
14933,100483XUZ09C,Q4,A,43.1,10,0.06481501223285295,0.07987711173004483,0.07226107226107226,True
